Designator,Footprint,Quantity,Value,LCSC Part #
"BT1_12, BT1_11, BT1_10, BT1_9, BT1_8, BT1_7, BT1_6, BT1_5, BT1_4, BT1_3, BT1_2, BT1",BAT-TH_CR2032-BS-6-1,12,Battery,C70377
"C1_12, C1_11, C1_10, C1_9, C1_8, C1_7, C1_6, C1_5, C1_4, C1_3, C1_2, C1, C2_12, C2_11, C2_10, C2_9, C2_8, C2_7, C2_6, C2_5, C2_4, C2_3, C2_2, C2",0603,24,22uF,C59461
"C10_12, C10_11, C10_10, C10_9, C10_8, C10_7, C10_6, C10_5, C10_4, C10_3, C10_2, C10, C11_12, C11_11, C11_10, C11_9, C11_8, C11_7, C11_6, C11_5, C11_4, C11_3, C11_2, C11, C13_12, C13_11, C13_10, C13_9, C13_8, C13_7, C13_6, C13_5, C13_4, C13_3, C13_2, C13, C8_12, C8_11, C8_10, C8_9, C8_8, C8_7, C8_6, C8_5, C8_4, C8_3, C8_2, C8, C9_12, C9_11, C9_10, C9_9, C9_8, C9_7, C9_6, C9_5, C9_4, C9_3, C9_2, C9",0603,60,2.2uF,
"C12_12, C12_11, C12_10, C12_9, C12_8, C12_7, C12_6, C12_5, C12_4, C12_3, C12_2, C12, C4_12, C4_11, C4_10, C4_9, C4_8, C4_7, C4_6, C4_5, C4_4, C4_3, C4_2, C4",0603,24,4.7uF,C1705
"C3_12, C3_11, C3_10, C3_9, C3_8, C3_7, C3_6, C3_5, C3_4, C3_3, C3_2, C3",0603,12,100nF,
"L102_12, L102_11, L102_10, L102_9, L102_8, L102_7, L102_6, L102_5, L102_4, L102_3, L102_2, L102",L_Wurth_WE-LQSH-2010,12,0.47uH,C89446
"R101_12, R101_11, R101_10, R101_9, R101_8, R101_7, R101_6, R101_5, R101_4, R101_3, R101_2, R101, R4_12, R4_11, R4_10, R4_9, R4_8, R4_7, R4_6, R4_5, R4_4, R4_3, R4_2, R4",0603,24,91k,
"R11_12, R11_11, R11_10, R11_9, R11_8, R11_7, R11_6, R11_5, R11_4, R11_3, R11_2, R11",0603,12,390k,
"R12_12, R12_11, R12_10, R12_9, R12_8, R12_7, R12_6, R12_5, R12_4, R12_3, R12_2, R12, R13_12, R13_11, R13_10, R13_9, R13_8, R13_7, R13_6, R13_5, R13_4, R13_3, R13_2, R13",0603,24,4.7k,
"R6_12, R6_11, R6_10, R6_9, R6_8, R6_7, R6_6, R6_5, R6_4, R6_3, R6_2, R6",0603,12,511k,
"SW5_12, SW5_11, SW5_10, SW5_9, SW5_8, SW5_7, SW5_6, SW5_5, SW5_4, SW5_3, SW5_2, SW5",SW-SMD_SK-3245S-L1-A-1,12,SW_SPDT_321,C405951
"U101_12, U101_11, U101_10, U101_9, U101_8, U101_7, U101_6, U101_5, U101_4, U101_3, U101_2, U101",VREG_TPS63802DLAR,12,TPS63802DLAR,C2845237
"U2_12, U2_11, U2_10, U2_9, U2_8, U2_7, U2_6, U2_5, U2_4, U2_3, U2_2, U2",QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,12,PY32F003F1xU,C3018714
